data_as_of,development,tds,consolidated_tds,hud_,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,population_public_housing,total_population,percent_fixed_income_households,number_of_residential_bldgs,number_of_stories,total_area_sq_ft,bldg_coverage_sq_ft,density,development_cost,avg_monthly_gross_rent,borough,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date
1/1/2025,EAST NEW YORK CITY LINE,263,070,NY005171,FEDERAL,TURNKEY,NEW CONST,0.0,66,66,409.0,250,250,0.3485,33.0,3,"85,226.3","26,943",128.0,"$2,774,644",$726,BROOKLYN,1976-03-31,,,,,
1/1/2025,EAST RIVER,009,009,NY005005,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,150","1,170","4,826.0","2,020","2,020",0.4294,10.0,6–10–11,"465,829.6","112,140",189.0,"$5,304,700",$560,MANHATTAN,1941-05-20,,,,,
1/1/2025,EASTCHESTER GARDENS,034,034,NY005114A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,874,877,"4,235.0","1,806","1,806",0.4315,10.0,7–8,"599,719.0","115,918",131.0,"$9,514,000",$604,BRONX,1950-06-01,1968-08-29,,,,2025-03-27
1/1/2025,EDENWALD,057,057,NY005019,FEDERAL,CONVENTIONAL,NEW CONST,,"2,035","2,039","9,411.0","4,783","4,783",0.0032,40.0,3-14,"2,373,791.0","344,433",88.0,"$22,862,156",$584,BRONX,1953-10-30,,,,,2023-06-27
1/1/2025,ELLIOTT,015,134,NY005181C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,604,608,"2,833.0","1,163","1,163",0.438,4.0,11–12,"161,696.6","45,023",313.0,"$5,042,342",$668,MANHATTAN,1947-07-15,1972-06-29,,,,
1/1/2025,FARRAGUT,029,029,NY005220C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,383","1,390","6,484.5","2,743","2,743",0.4272,10.0,14,"729,556.5","100,746",164.0,"$15,187,000",$643,BROOKLYN,1952-05-07,1978-07-01,,,,
1/1/2025,FENIMORE-LEFFERTS,205,167,NY005129,FEDERAL,TURNKEY,NEW CONST,,35,36,175.5,86,86,0.0038,18.0,2,"35,483.1","20,339",106.0,"$633,673",$805,BROOKLYN,1969-09-30,,,YES,,2023-11-28
1/1/2025,FHA REPOSSESSED HOUSES (GROUP I),209,091,NY005140,FEDERAL,CONVENTIONAL,REHAB,0.0,23,23,116.5,18,18,0.5714,20.0,1–2,"52,507.9",,15.0,"$872,178",$901,QUEENS,1969-10-31,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP II),212,091,NY005155,FEDERAL,CONVENTIONAL,REHAB,0.0,11,11,58.5,19,19,0.25,10.0,1–2–3,"28,327.0",,29.0,"$638,109","$1,308",BRONX/QUEENS,1970-09-30,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP III),213,091,NY005158,FEDERAL,CONVENTIONAL,REHAB,0.0,11,11,59.5,15,15,0.6,10.0,1–2,"26,362.0",,25.0,"$391,158",$948,BRONX/QUEENS,1971-04-30,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP IV),226,091,NY005159,FEDERAL,CONVENTIONAL,REHAB,0.0,9,9,51.5,13,13,0.5556,9.0,1–2–3,"26,229.0",,22.0,"$535,873","$1,106",BRONX/QUEENS,1971-06-30,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP IX),283,091,NY005206,FEDERAL,CONVENTIONAL,REHAB,0.0,27,27,126.5,23,23,0.6429,12.0,1–1.5–2–2.5–3,"27,532.0",,36.0,"$920,558","$1,020",BROOKLYN/QUEENS,1983-01-31,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP V),260,091,NY005182,FEDERAL,CONVENTIONAL,REHAB,0.0,32,32,166.0,50,50,0.56,28.0,1–2–3,"95,855.0",,23.0,"$1,241,649",$940,BROOKLYN/QUEENS,1972-09-30,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP VI),273,091,NY005199,FEDERAL,CONVENTIONAL,REHAB,0.0,7,7,36.5,4,4,1.0,6.0,1–1.5–2–2.5,"16,337.1",,11.0,"$369,711",$731,QUEENS,1976-07-31,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP VII),274,091,NY005197,FEDERAL,CONVENTIONAL,REHAB,0.0,5,5,29.5,6,6,0.75,5.0,1–1.5–2–2.5,"14,530.0",,18.0,"$453,780",$678,QUEENS,1976-07-31,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP VIII),275,091,NY005198,FEDERAL,CONVENTIONAL,REHAB,0.0,7,7,38.5,10,10,0.3333,7.0,1–1.5–2–2.5,"20,081.2",,22.0,"$323,522",$864,QUEENS,1976-07-31,,,YES,,
1/1/2025,FHA REPOSSESSED HOUSES (GROUP X),284,091,NY005212,FEDERAL,CONVENTIONAL,REHAB,0.0,17,17,92.5,25,25,0.5833,16.0,1–1.5–2–2.5,"48,795.4",,22.0,"$2,074,109",$685,QUEENS,1983-01-31,,,YES,,
1/1/2025,FIORENTINO PLAZA,207,261,NY005188,FEDERAL,CONVENTIONAL,NEW CONST,,158,160,774.5,438,438,0.0022,8.0,4,"98,097.8","42,189",194.0,"$6,138,432",$577,BROOKLYN,1971-10-31,,,,,2021-12-28
1/1/2025,FIRST HOUSES,001,337,NY005181A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,125,126,444.5,116,116,0.5195,8.0,4–5,"53,675.7","24,540",94.0,"$1,384,643",$592,MANHATTAN,1936-05-31,1972-06-29,,YES,,
1/1/2025,FOREST,059,059,NY005220F,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,348","1,350","6,152.0","2,683","2,683",0.424,15.0,9–10–14,"758,861.5","125,002",154.0,"$19,576,000",$588,BRONX,1956-11-12,1978-07-01,,,,
1/1/2025,FORT INDEPENDENCE STREET-HEATH AVENUE,197,197,NY005110,FEDERAL,TURNKEY,NEW CONST,0.0,341,344,"1,504.5",670,670,0.4829,1.0,21,"151,365.0","25,162",193.0,"$10,566,070",$551,BRONX,1974-11-30,,,,,2025-06-24
1/1/2025,FORT WASHINGTON AVENUE REHAB,309,309,NY005266,FEDERAL,TURNKEY,REHAB (ELD),,226,226,814.0,275,275,0.0091,1.0,7,"113,818.6","43,735",105.0,"$16,237,236",$318,MANHATTAN,1985-10-01,,EXCLUSIVELY,YES,,2020-11-30
1/1/2025,FRANKLIN AVENUE I CONVENTIONAL,525,531,NY005314,FEDERAL,CONVENTIONAL,REHAB,,60,61,264.0,,130,,3.0,5,"30,403.5","10,811",186.0,"$5,015,464",$491,BRONX,1994-08-31,,,YES,YES,2018-11-30
1/1/2025,FRANKLIN AVENUE II CONVENTIONAL,531,531,NY005346,FEDERAL,CONVENTIONAL,REHAB,,45,45,196.5,,92,,3.0,5,"18,889.8","8,080",212.0,"$3,401,250",$386,BRONX,1994-08-31,,,YES,YES,2018-11-30
1/1/2025,FRANKLIN AVENUE III CONVENTIONAL,524,531,NY005348,FEDERAL,CONVENTIONAL,REHAB,,15,15,65.5,,36,,1.0,5,"4,495.3","2,803",349.0,"$1,189,930",$450,BRONX,1994-08-31,,,YES,YES,2018-11-30
1/1/2025,FULTON,136,136,NY005053,FEDERAL,CONVENTIONAL,NEW CONST,0.0,944,944,"4,223.0","1,809","1,809",0.4977,11.0,6–25,"270,743.1","70,645",291.0,"$20,727,847",$756,MANHATTAN,1965-03-31,,,,,
1/1/2025,GARVEY (GROUP A),252,252,NY005166,FEDERAL,CONVENTIONAL,NEW CONST,0.0,320,321,"1,525.0",793,793,0.4051,3.0,2—6–14,"147,049.1","40,745",235.0,"$12,599,489",$718,BROOKLYN,1975-02-28,,PARTIALLY (1 BUILDING),,,
1/1/2025,GLEBE AVENUE-WESTCHESTER AVENUE,225,067,NY005147,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,131,132,434.5,125,125,0.9043,1.0,6,"47,071.1","18,734",116.0,"$3,356,367",$407,BRONX,1971-12-31,,EXCLUSIVELY,,,
1/1/2025,GLENMORE PLAZA,171,169,NY005267C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,432,440,"1,672.0",757,757,0.5025,4.0,10–18–24,"186,561.1","24,838",177.0,"$10,600,000",$573,BROOKLYN,1968-04-30,1980-07-01,,,,
1/1/2025,GLENWOOD,044,044,NY005268B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,186","1,188","5,207.0","2,252","2,252",0.3989,20.0,6,"926,690.5","183,856",106.0,"$12,907,133",$666,BROOKLYN,1950-07-14,1980-07-01,,,,
1/1/2025,GOMPERS,100,100,NY005032,FEDERAL,CONVENTIONAL,NEW CONST,0.0,472,474,"2,195.0",966,966,0.4866,2.0,20,"162,107.6","24,555",260.0,"$9,322,807",$654,MANHATTAN,1964-04-30,,,,,
1/1/2025,GOWANUS,025,025,NY005213G,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,131","1,139","5,408.5","2,247","2,247",0.4523,15.0,4–6–9–13–14,"500,001.5","105,659",196.0,"$11,928,000",$713,BROOKLYN,1949-06-24,1977-07-01,,,,
1/1/2025,GRAMPION,281,030,NY005210,FEDERAL,CONVENTIONAL,REHAB,,33,35,148.5,68,68,0.0016,1.0,7,"7,461.9","5,000",397.0,"$817,621",$613,MANHATTAN,1977-05-17,,,YES,,2020-11-30
1/1/2025,GRANT,087,087,NY005030,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,939","1,940","9,133.5","3,804","3,804",0.4151,9.0,13–21,"664,302.8","101,477",249.0,"$28,783,425",$678,MANHATTAN,1957-10-31,,,,,
1/1/2025,GRAVESEND,068,172,NY005025,FEDERAL,CONVENTIONAL,NEW CONST,0.0,633,634,"2,947.5","1,343","1,343",0.432,15.0,7,"539,230.0","92,855",108.0,"$7,927,996",$587,BROOKLYN,1954-06-28,,,,,
1/1/2025,GUN HILL,040,040,NY005267A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,727,733,"3,106.5","1,365","1,365",0.4487,6.0,14,"321,165.3","54,684",185.0,"$8,709,286",$655,BRONX,1950-11-30,1980-07-01,,,,
1/1/2025,HABER,142,166,NY005271D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,380,380,"1,327.0",412,412,0.9526,3.0,14,"137,508.1","23,903",131.0,"$7,494,000",$355,BROOKLYN,1965-06-30,1980-10-01,EXCLUSIVELY,,,
1/1/2025,HAMMEL,075,075,NY005027,FEDERAL,CONVENTIONAL,NEW CONST,0.0,703,712,"3,267.5","1,510","1,510",0.4024,14.0,7,"616,450.1","107,706",107.0,"$9,618,901",$546,QUEENS,1955-04-20,,,,,
1/1/2025,HARBORVIEW TERRACE,262,022,NY005168,FEDERAL,TURNKEY,NEW CONST,0.0,376,377,"1,490.0",559,559,0.6872,2.0,14–15,"122,770.8","22,666",198.0,"$16,721,224",$620,MANHATTAN,1977-06-30,,PARTIALLY (1 BUILDING),,,
1/1/2025,HARLEM RIVER,003,003,NY005042,FEDERAL,CONVENTIONAL,NEW CONST,,574,577,"2,179.5","1,077","1,077",0.0034,7.0,4-5,"318,887.1","103,777",147.0,"$4,147,782",$536,MANHATTAN,1937-10-01,,,,,2022-02-17
1/1/2025,HARLEM RIVER II,147,003,NY005051,FEDERAL,CONVENTIONAL,NEW CONST,,116,116,507.0,285,285,0.0034,1.0,15,"29,964.9","7,281",414.0,"$2,605,601",$624,MANHATTAN,1965-10-31,,,,,2022-02-17
1/1/2025,HARRISON AVENUE REHAB (GROUP A),347,341,NY005231,FEDERAL,TURNKEY,REHAB,0.0,34,34,146.0,67,67,0.6452,1.0,5,"9,576.1","6,698",305.0,"$2,368,803",$501,BRONX,1986-09-01,,,YES,YES,2025-06-24
1/1/2025,HARRISON AVENUE REHAB (GROUP B),547,341,NY005287,FEDERAL,TURNKEY,REHAB,0.0,150,150,664.0,283,283,0.4403,4.0,5–6,"48,112.4","29,954",256.0,"$10,059,298",$578,BRONX,1986-12-01,,,YES,YES,2025-06-24
1/1/2025,HERNANDEZ,184,100,NY005085,FEDERAL,CONVENTIONAL,NEW CONST,0.0,149,149,601.5,229,229,0.6343,1.0,17,"45,785.4","13,167",218.0,"$3,731,491",$540,MANHATTAN,1971-08-31,,,,,
1/1/2025,HIGHBRIDGE GARDENS,078,078,NY005026,FEDERAL,CONVENTIONAL,NEW CONST,0.0,699,700,"3,247.5","1,406","1,406",0.4006,6.0,13–14,"500,854.1","55,678",122.0,"$7,547,875",$649,BRONX,1954-06-18,,,,,
1/1/2025,HIGHBRIDGE REHABS (ANDERSON AVENUE),370,531,NY005312,FEDERAL,TURNKEY,REHAB,,135,135,640.5,,364,,4.0,5-6,"36,946.0","27,249",429.0,"$13,271,641",$432,BRONX,1997-04-30,,,YES,YES,2018-11-30
1/1/2025,HIGHBRIDGE REHABS (NELSON AVENUE),371,531,NY005313,FEDERAL,TURNKEY,REHAB,,80,80,380.0,,212,,3.0,5-6,"38,112.6","18,840",242.0,"$8,428,841",$543,BRONX,1996-10-31,,,YES,YES,2018-11-30
1/1/2025,HOE AVENUE-EAST 173RD STREET,215,530,NY005164,FEDERAL,TURNKEY,NEW CONST,0.0,65,65,270.5,132,132,0.2787,1.0,6,"22,426.9","9,242",256.0,"$1,583,566",$664,BRONX,1970-12-31,,,,YES,
1/1/2025,HOLMES TOWERS,159,139,NY005069,FEDERAL,CONVENTIONAL,NEW CONST,0.0,534,537,"2,061.0",861,861,0.5117,2.0,25,"119,471.9","19,872",314.0,"$10,435,545",$597,MANHATTAN,1969-04-30,,,,,
1/1/2025,HOPE GARDENS,247,247,NY005218,FEDERAL,CONVENTIONAL,NEW CONST,,324,330,"1,404.5",,702,,4.0,7-14,"198,344.9","41,000",154.0,"$20,632,339",$456,BROOKLYN,1981-08-31,,PARTIALLY,YES,,2019-07-18
1/1/2025,HOWARD,072,072,NY005244A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,810,815,"3,686.0","1,707","1,707",0.446,10.0,7–13,"620,389.6","87,500",120.0,"$11,359,000",$494,BROOKLYN,1955-12-30,1979-08-01,,,,
1/1/2025,HOWARD AVENUE,339,351,NY005261,FEDERAL,TURNKEY,NEW CONST,,143,150,648.5,336,336,0.0034,5.0,3,"139,836.1","50,568",105.0,"$11,464,557",$699,BROOKLYN,1988-08-01,,,YES,,2023-11-28
1/1/2025,HOWARD AVENUE-PARK PLACE,365,351,NY005225,FEDERAL,TURNKEY,NEW CONST,,148,156,742.0,394,394,0.003,8.0,3,"201,828.9","54,978",85.0,"$15,843,706",$681,BROOKLYN,1994-08-31,,,YES,,2023-11-28
1/1/2025,HUGHES APARTMENTS,168,168,NY005081,FEDERAL,CONVENTIONAL,NEW CONST,0.0,503,513,"2,399.5","1,229","1,229",0.3455,3.0,22,"238,734.3","23,502",224.0,"$10,288,064",$696,BROOKLYN,1968-06-30,,,,,
1/1/2025,HUNTS POINT AVENUE REHAB,367,530,NY005299,FEDERAL,TURNKEY,REHAB,0.0,131,131,605.5,306,306,0.296,13.0,4–5,"59,077.8","35,180",226.0,"$13,280,604",$619,BRONX,1991-11-30,,,YES,YES,
1/1/2025,HYLAN,109,086,NY005364,FEDERAL,CONVENTIONAL,NEW CONST,0.0,209,209,933.5,405,405,0.4646,1.0,19,"73,935.7","11,403",239.0,"$3,945,608",$610,BROOKLYN,1960-06-30,1995-07-13,,,,
1/1/2025,INDEPENDENCE,140,234,NY005376,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,108.0,742,744,"3,302.0",,"1,791",,6.0,21,"245,417.7","44,685",318.0,"$14,543,000",$426,BROOKLYN,1965-10-31,,,,,2020-02-12
1/1/2025,INGERSOLL,014,014,NY005213B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,820","1,840","8,646.0","3,579","3,579",0.3704,20.0,6–11,"988,915.2","175,748",158.0,"$12,236,672",$667,BROOKLYN,1944-02-24,1977-07-01,,,,
1/1/2025,INTERNATIONAL TOWER,316,091,NY005241,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,146,159,520.0,174,174,0.9007,1.0,10,"42,698.7","12,689",178.0,"$10,992,764",$457,QUEENS,1983-05-31,,EXCLUSIVELY,YES,,
1/1/2025,ISAACS,139,139,NY005057,FEDERAL,CONVENTIONAL,NEW CONST,0.0,633,636,"2,634.5","1,131","1,131",0.5148,3.0,24,"159,193.4","32,645",309.0,"$13,251,410",$615,MANHATTAN,1965-07-31,,,,,
1/1/2025,JACKSON,120,267,NY005043,FEDERAL,CONVENTIONAL,NEW CONST,0.0,864,868,"4,115.0","1,832","1,832",0.4025,7.0,16,"342,363.4","59,552",233.0,"$14,850,303",$568,BRONX,1963-07-31,,,,,
1/1/2025,JEFFERSON,064,064,NY005016,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,476","1,493","6,896.0","2,932","2,932",0.4433,18.0,7–13–14,"758,793.8","149,778",168.0,"$26,894,981",$646,MANHATTAN,1959-08-28,,,,,
1/1/2025,JOHNSON,017,017,NY005213H,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,296","1,310","6,121.0","2,699","2,699",0.4114,10.0,14,"462,432.6","97,804",254.0,"$14,348,000",$676,MANHATTAN,1948-12-27,1977-07-01,,,,
1/1/2025,KING TOWERS,030,030,NY005213J,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,378","1,379","6,347.0","2,624","2,624",0.4291,10.0,13–14,"563,907.8","98,822",203.0,"$19,859,000",$645,MANHATTAN,1954-11-01,1977-07-01,,,,
1/1/2025,KINGSBOROUGH,010,010,NY005006,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,155","1,165","4,711.5","2,230","2,230",0.3967,16.0,6,"704,895.3","129,189",138.0,"$5,175,100",$633,BROOKLYN,1941-10-31,,,,,
1/1/2025,KINGSBOROUGH EXTENSION,161,010,NY005071,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,183,184,640.5,213,213,0.8889,1.0,25,"64,407.7","7,110",144.0,"$2,986,383",$431,BROOKLYN,1966-05-31,,EXCLUSIVELY,,,
1/1/2025,LA GUARDIA,076,076,NY005021,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,091","1,094","5,098.5","2,196","2,196",0.4808,9.0,16,"465,320.7","63,621",206.0,"$17,157,591",$711,MANHATTAN,1957-08-08,,,,,
1/1/2025,LA GUARDIA ADDITION,152,076,NY005061,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,149,150,491.5,177,177,0.9185,1.0,16,"14,697.3","5,618",525.0,"$2,876,132",$356,MANHATTAN,1965-08-31,,EXCLUSIVELY,,,
1/1/2025,LA PRECIOSA,590,,,MIXED FINANCE/NON-NYCHA DEVELOPMENT,CONVENTIONAL,NEW CONST,,21,49,,,,,1.0,7,,,,,,BRONX,,,,,YES,
1/1/2025,LAFAYETTE,122,122,NY005047,FEDERAL,CONVENTIONAL,NEW CONST,0.0,881,882,"4,379.5","2,076","2,076",0.4319,7.0,13–15–20,"340,979.2","58,504",265.0,"$14,689,766",$681,BROOKLYN,1962-07-31,,,,,
1/1/2025,LATIMER GARDENS,186,186,NY005093,FEDERAL,CONVENTIONAL,NEW CONST,0.0,421,423,"1,700.5",752,752,0.5205,4.0,10,"170,683.2","40,077",192.0,"$9,310,959",$622,QUEENS,1970-09-30,,,,,
1/1/2025,LAVANBURG HOMES,310,310,NY005248,FEDERAL,CONVENTIONAL,REHAB,,95,104,391.5,,,,1.0,6,,"12,882",,"$5,742,000",,MANHATTAN,1984-09-26,,,,,
1/1/2025,LEAVITT STREET-34TH AVENUE,201,186,NY005191,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,83,83,272.5,95,95,0.9383,1.0,6,"20,783.9","8,465",199.0,"$2,606,744",$343,QUEENS,1974-10-31,,EXCLUSIVELY,,,
1/1/2025,LEHMAN VILLAGE,101,101,NY005033,FEDERAL,CONVENTIONAL,NEW CONST,0.0,616,622,"2,889.0","1,311","1,311",0.4505,4.0,20,"178,009.6","28,904",321.0,"$11,549,370",$598,MANHATTAN,1963-11-30,,,,,
1/1/2025,LENOX ROAD-ROCKAWAY PARKWAY,348,167,NY005292,FEDERAL,TURNKEY,REHAB,,71,74,316.5,151,151,0.0041,3.0,4,"25,136.2","18,791",262.0,"$4,669,919",$604,BROOKLYN,1985-09-01,,,YES,,2023-11-28
1/1/2025,LEXINGTON,050,062,NY005183C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,445,448,"1,888.5",773,773,0.5012,4.0,14,"154,371.3","35,222",218.0,"$4,780,152",$650,MANHATTAN,1951-03-16,1972-06-29,,,,
1/1/2025,LINCOLN,020,020,NY005213E,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,283","1,286","6,113.5","2,474","2,474",0.4121,14.0,6–14,"508,269.3","106,738",212.0,"$14,324,000",$637,MANHATTAN,1948-12-29,1977-07-01,,,,
1/1/2025,LINDEN,095,095,NY005377,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,491.0,"1,586","1,586","7,297.5","2,117","3,462",0.0038,19.0,8-14,"1,224,449.9","173,020",123.0,"$20,230,969",$591,BROOKLYN,1958-07-17,,,,,2021-12-28
1/1/2025,LONG ISLAND BAPTIST HOUSES,276,261,NY005201,FEDERAL,CONVENTIONAL,REHAB,0.0,228,232,"1,035.0",439,439,0.2969,4.0,6,"128,368.2","37,700",149.0,"$11,627,063",$642,BROOKLYN,1981-06-30,,,YES,,
1/1/2025,LONGFELLOW AVENUE REHAB,362,530,NY005295,FEDERAL,TURNKEY,REHAB,0.0,75,75,412.5,246,246,0.2192,2.0,5,"26,928.9","16,773",398.0,"$7,044,209",$765,BRONX,1990-10-31,,,YES,YES,
1/1/2025,LOW HOUSES,169,169,NY005082,FEDERAL,CONVENTIONAL,NEW CONST,0.0,529,536,"2,517.5","1,221","1,221",0.3524,4.0,17–18,"268,821.1","45,163",198.0,"$10,312,262",$615,BROOKLYN,1967-12-31,,,,,
1/1/2025,LOWER EAST SIDE I INFILL,326,100,NY005259,FEDERAL,TURNKEY,NEW CONST,0.0,189,189,777.5,320,320,0.6393,5.0,4–9,"91,266.3","37,227",153.0,"$14,369,576",$602,MANHATTAN,1988-06-01,,PARTIALLY (1 BUILDING),YES,,
1/1/2025,LOWER EAST SIDE II,337,337,NY005262,FEDERAL,TURNKEY,NEW CONST,0.0,186,188,838.0,388,388,0.462,4.0,3,"168,043.7","59,808",101.0,"$14,709,271",$717,MANHATTAN,1988-11-01,,,YES,,
1/1/2025,LOWER EAST SIDE III,364,359,NY005215,FEDERAL,TURNKEY,NEW CONST,0.0,56,56,280.0,129,129,0.3396,2.0,4,"44,802.9","22,801",125.0,"$7,324,340",$843,MANHATTAN,1997-04-30,,,YES,YES,
1/1/2025,LOWER EAST SIDE REHAB (GROUP 5),292,337,NY005233,FEDERAL,TURNKEY,REHAB,0.0,52,55,218.0,103,103,0.3922,2.0,6,"18,576.1","10,275",242.0,"$4,322,735",$707,MANHATTAN,1986-12-01,,,YES,,
1/1/2025,MANHATTANVILLE,081,081,NY005378,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,204.0,"1,216","1,272","5,751.0","2,205","2,663",0.4255,6.0,20,"530,334.9","83,754",219.0,"$25,774,000",$592,MANHATTAN,1961-06-30,,,,,2024-12-12
1/1/2025,MANHATTANVILLE REHAB (GROUP 2),296,081,NY005235,FEDERAL,CONVENTIONAL,REHAB,,46,46,187.0,85,85,0.0048,3.0,5-6,"12,452.2","8,099",297.0,"$6,002,000",$530,MANHATTAN,1988-11-01,,,YES,,2020-11-30
1/1/2025,MANHATTANVILLE REHAB (GROUP 3),297,081,NY005236,FEDERAL,CONVENTIONAL,REHAB,,51,51,220.5,112,112,0.0035,2.0,5-6,"14,633.7","9,930",333.0,"$3,652,758",$447,MANHATTAN,1983-09-30,,,YES,,2020-11-30
1/1/2025,MARBLE HILL,049,049,NY005379,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,257.0,"1,680","1,682","7,111.0","2,534","2,975",0.4963,11.0,14–15,"752,397.6","111,631",172.0,"$17,882,055",$588,BRONX,1952-03-06,,,,,
1/1/2025,MARCY,021,021,NY005213F,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,710","1,717","8,239.0","3,699","3,699",0.4149,27.0,6,"1,076,554.1","240,198",150.0,"$19,420,000",$650,BROOKLYN,1949-01-19,1977-07-01,,,,
1/1/2025,MARCY AVENUE-GREENE AVENUE SITE A,363,359,NY005300,FEDERAL,TURNKEY,NEW CONST,,48,48,231.0,,127,,2.0,3,"54,686.3","16,354",101.0,"$5,042,549",$462,BROOKLYN,1997-06-30,,,YES,YES,2020-02-12
1/1/2025,MARCY AVENUE-GREENE AVENUE SITE B,358,359,NY005293,FEDERAL,TURNKEY,NEW CONST,,30,30,145.0,,81,,1.0,3,"34,042.5","10,081",104.0,"$3,168,261",$413,BROOKLYN,1997-06-30,,,YES,YES,2020-02-12
1/1/2025,MARINER'S HARBOR,077,077,NY005020,FEDERAL,CONVENTIONAL,NEW CONST,0.0,600,607,"2,828.0","1,333","1,333",0.3208,22.0,3–6,"943,519.3","124,890",62.0,"$8,072,855",$613,STATEN ISLAND,1954-09-03,,,,,
1/1/2025,MARLBORO,083,083,NY005380,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,365.0,"1,762","1,765","8,238.0","2,850","3,614",0.4555,28.0,7–16,"1,460,872.0","202,426",108.0,"$22,429,000",$640,BROOKLYN,1958-02-27,,,,,
1/1/2025,MARSHALL PLAZA,344,003,NY005265,FEDERAL,TURNKEY,NEW CONST (ELD),,176,180,539.0,211,211,0.0091,1.0,13,"21,613.4","10,354",425.0,"$12,233,985",$301,MANHATTAN,1986-06-30,,EXCLUSIVELY,YES,,2023-01-10
1/1/2025,MCKINLEY,103,059,NY005031,FEDERAL,CONVENTIONAL,NEW CONST,0.0,616,619,"2,932.0","1,299","1,299",0.4249,5.0,16,"292,673.0","41,286",193.0,"$10,418,410",$607,BRONX,1962-07-31,,,,,
1/1/2025,MELROSE,028,028,NY005216B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,019","1,023","4,846.5","2,184","2,184",0.4303,8.0,14,"516,231.6","68,826",184.0,"$12,236,000",$558,BRONX,1952-06-20,1978-02-01,,,,
1/1/2025,MELTZER TOWER,183,100,NY005085,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,228,231,684.0,211,211,0.9115,1.0,20,"51,969.0","6,910",177.0,"$5,622,697",$338,MANHATTAN,1971-08-31,,EXCLUSIVELY,,,
1/1/2025,METRO NORTH PLAZA,181,112,NY005092,FEDERAL,CONVENTIONAL,NEW CONST,0.0,270,275,"1,297.0",534,534,0.4859,3.0,7–8–11,"101,169.8","34,752",230.0,"$6,733,865",$645,MANHATTAN,1971-08-31,,,,,
1/1/2025,MIDDLETOWN PLAZA,191,034,NY005096B,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,159,179,543.5,167,167,0.9276,1.0,15,"50,381.1","10,076",144.0,"$6,090,291",$374,BRONX,1973-08-31,,EXCLUSIVELY,,,2024-09-26
1/1/2025,MILL BROOK,084,084,NY005244C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,247","1,255","5,779.5","2,531","2,531",0.4178,9.0,16,"469,575.2","76,410",235.0,"$22,176,000",$553,BRONX,1959-05-26,1979-08-01,,,,
1/1/2025,MILL BROOK EXTENSION,132,084,NY005244C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,124,125,606.0,255,255,0.487,1.0,16,"22,246.2","8,660",499.0,"$1,957,000",$505,BRONX,1962-01-31,1979-08-01,,,,
